time,id,text,isRetweet,isDeleted,device,favorites,retweets,isFlagged
2017-01-26 19:21:00,8.24699e+17,"Spoke at the Congressional GOP Retreat in Philadelphia, PA. this afternoon w/ VP, SenateMajLdr, SpeakerRyan. Th... ",f,f,Twitter for iPhone,62387,9208,f
2017-01-26 23:45:00,8.24765e+17,Will be interviewed by SeanHannity on FoxNews at 10:00pm tonight. Enjoy!,f,f,Twitter for iPhone,62883,8631,f
2017-01-26 23:53:00,8.24767e+17,Miami-Dade Mayor drops sanctuary policy. Right decision. Strong! ,f,f,Twitter for iPhone,95427,20037,f
2017-01-26 02:14:00,8.2444e+17,"As your President, I have no higher duty than to protect the lives of the American people. ",f,f,Twitter for iPhone,130655,23750,f
2017-01-26 02:45:00,8.24448e+17,"""""""romoabcnews: .DavidMuir first POTUS interview since taking office.  Tonight on ABCWorldNews ABC2020 tonight. ",f,f,Twitter for Android,38299,5265,f
2017-01-26 02:48:00,8.24449e+17,Interview with David Muir of ABC News in 10 minutes. Enjoy!,f,f,Twitter for Android,45940,5313,f
2017-01-26 07:15:00,8.24697e+17,"Spoke at the Congressional GOP Retreat in Philadelphia, PA. this afternoon w/ VP, SenMajLeader, SpeakerRyan. Th... ",f,t,Twitter for iPhone,9,9,f
2017-01-27 13:12:00,8.24968e+17,"Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3,000,000 votes were illegal. We must do better!",f,f,Twitter for Android,75060,13964,f
2017-01-27 13:19:00,8.2497e+17,"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp, little help on the very weak border must change, NOW!",f,f,Twitter for Android,137167,24666,f
2017-01-27 16:27:00,8.25017e+17,The MarchForLife is so important. To all of you marching --- you have my full support!,f,f,Twitter for iPhone,158250,36569,f
2017-01-27 16:30:00,8.25018e+17,.VP Mike Pence will be speaking at today's MarchForLife -- You have our full support! ,f,f,Twitter for iPhone,76103,13053,f
2017-01-27 20:20:00,8.25076e+17,Statement on International Holocaust Remembrance Day: ,f,f,Twitter for iPhone,49175,8671,f
2017-01-27 22:00:00,8.25101e+17,Congratulations Secretary Mattis! ,f,f,Twitter for iPhone,95739,15368,f
2017-01-27 23:46:00,8.25128e+17,I promise that our administration will ALWAYS have your back. We will ALWAYS be with you! ,f,f,Twitter for iPhone,128414,23661,f
2017-01-28 10:50:00,8.25476e+17,I will be interviewed by TheBrodyFile on CBNNews tonight at 11pm. Enjoy!,f,t,Twitter for iPhone,1300,305,f
2017-01-28 13:04:00,8.25329e+17,"The failing nytimes has been wrong about me from the very beginning. Said I would lose the primaries, then the general election. FAKE NEWS!",f,f,Twitter for Android,92086,16530,f
2017-01-28 13:08:00,8.2533e+17,Thr coverage about me in the nytimes and the washingtonpost gas been so false and angry that the times actually apologized to its.....,f,f,Twitter for Android,67065,11024,f
2017-01-28 13:16:00,8.25332e+17,"...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course, and never will. DISHONEST",f,f,Twitter for Android,89588,12929,f
2017-01-28 15:42:00,8.25369e+17,"Today, we remember the crew of the Space Shuttle Challenger, 31 years later. NeverForget ",f,f,Twitter for iPhone,146967,27034,f
2017-01-29 13:00:00,8.2569e+17,Somebody with aptitude and conviction should buy the FAKE NEWS and failing nytimes and either run it correctly or let it fold with dignity!,f,f,Twitter for Android,94487,17756,f
2017-01-29 13:08:00,8.25692e+17,"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!",f,f,Twitter for Android,185622,40460,f
2017-01-29 15:03:00,8.25721e+17,Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!,f,f,Twitter for Android,190081,48092,f
2017-01-29 21:45:00,8.25822e+17,"The joint statement of former presidential candidates John McCain &amp, Lindsey Graham is wrong - they are sadly weak on immigration. The two...",f,f,Twitter for Android,90310,18997,f
2017-01-29 21:49:00,8.25823e+17,"...Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III.",f,f,Twitter for Android,143438,33797,f
2017-01-29 23:28:00,8.25848e+17,Statement Regarding Recent Executive Order Concerning Extreme Vetting: ,f,f,Twitter for iPhone,58392,13654,f
2017-01-29 23:39:00,8.25851e+17,I will be interviewed by TheBrodyFile on CBNNews tonight at 11pm. Enjoy!,f,f,Twitter for iPhone,57496,9025,f
2017-01-30 12:16:00,8.26041e+17,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,.....",f,f,Twitter for Android,112088,25485,f
2017-01-30 12:20:00,8.26042e+17,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,f,f,Twitter for Android,113910,19336,f
2017-01-30 12:27:00,8.26044e+17,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,f,f,Twitter for Android,147410,28310,f
2017-01-30 13:31:00,8.2606e+17,"""If the ban were announced with a one week notice, the """"bad"""" would rush into our country during that week. A lot of bad """"dudes"""" out there!""",f,f,Twitter for Android,146188,28676,f
2017-01-30 13:43:00,8.26063e+17,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),f,f,Twitter for Android,108133,20253,f
2017-01-30 14:23:00,8.26073e+17,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,f,f,Twitter for iPhone,139172,26262,f
2017-01-30 21:07:00,8.26175e+17,"The American dream is back. Were going to create an environment for small business like we havent had in many, ma... ",f,f,Twitter for iPhone,151794,28022,f
2017-01-31 00:45:00,8.2623e+17,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,f,f,Twitter for Android,108024,22525,f
2017-01-31 11:21:00,8.2639e+17,Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,f,f,Twitter for Android,128521,24628,f
2017-01-31 11:27:00,8.26391e+17,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,f,f,Twitter for Android,153210,31672,f
2017-10-01 12:05:00,9.14461e+17," SLandinSoCal: When you kneel for our NationalAnthem, you aren't protesting a specific issue, you are protesting our Nation and EVERYTH...",t,t,Twitter for iPhone,0,17122,f
2017-10-01 12:22:00,9.14465e+17,"We have done a great job with the almost impossible situation in Puerto Rico. Outside of the Fake News or politically motivated ingrates,...",f,f,Twitter for iPhone,68685,14237,f
2017-10-01 12:26:00,9.14467e+17,...people are now starting to recognize the amazing work that has been done by FEMA and our great Military. All buildings now inspected.....,f,f,Twitter for iPhone,68188,12570,f
2017-10-01 12:30:00,9.14468e+17,...for safety. Thank you to the Governor of P.R. and to all of those who are working so closely with our First Responders. Fantastic job!,f,f,Twitter for iPhone,64398,11145,f
2017-10-01 14:30:00,9.14498e+17,"I told Rex Tillerson, our wonderful Secretary of State, that he is wasting his time trying to negotiate with Little Rocket Man...",f,f,Twitter for iPhone,86156,20367,f
2017-10-01 14:31:00,9.14498e+17,"...Save your energy Rex, we'll do what has to be done!",f,f,Twitter for iPhone,52283,10874,f
2017-10-01 19:01:00,9.14566e+17,"Being nice to Rocket Man hasn't worked in 25 years, why would it work now? Clinton failed, Bush failed, and Obama failed. I won't fail.",f,f,Twitter for iPhone,159550,37986,f
2017-10-01 02:08:00,9.14311e+17,"19,000 RESPECTING our National Anthem! StandForOurAnthem ",f,f,Twitter for iPhone,98636,25305,f
2017-10-10 10:13:00,9.17695e+17,"Why is the NFL getting massive tax breaks while at the same time disrespecting our Anthem, Flag and Country? Change tax law!",f,f,Twitter for iPhone,117135,25938,f
2017-10-10 10:18:00,9.17696e+17,"The problem with agreeing to a policy on immigration is that the Democrats don't want secure borders,they don't care about safety for U.S.A.",f,f,Twitter for iPhone,71836,17234,f
